xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d57696dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2],EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"TELEDYNE TECHNOLOGIES INCORPORATED,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"TELEDYNE TECHNOLOGIES INCORPORATED,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"FIREWORK MERGER SUB I, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"FIREWORK MERGER SUB I, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"FIREWORK MERGER SUB II, LLC",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"FIREWORK MERGER SUB II, LLC",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"FLIR SYSTEMS, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"FLIR SYSTEMS, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of January 4, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of January 4, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I THE MERGERS,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],2,,,o
